필드명,설명,코드값
R3M_ITRT_FIN_INSUR,최근3개월_금융_보험_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_FIN_COIN,최근3개월_금융_암호화폐_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_FIN_BANK,최근3개월_금융_은행/카드_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_FIN_ASSET,최근3개월_금융_자산관리_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_FIN_STOCK,최근3개월_금융_증권_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_HEALTH,최근3개월_생활_건강/운동/의료_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_DELIVERY,최근3개월_생활_배달/식음료_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_HOUSE,최근3개월_생활_부동산_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_MOVE,최근3개월_생활_이사/인테리어_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_CAR,최근3개월_생활_카라이프_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_KIDS,최근3개월_생활_키즈_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LIFE_BEAUTY,최근3개월_생활_뷰티_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_SHOP_MART,최근3개월_쇼핑_백화점/대형마트/면세점_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_SHOP_SOCIAL,최근3개월_쇼핑_소셜커머스_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_SHOP_OPEN,최근3개월_쇼핑_오픈마켓_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_SHOP_BEAUTY,최근3개월_쇼핑_패션/뷰티_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_SHOP_JIKGU,최근3개월_쇼핑_해외직구_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LEISURE_SPORT,최근3개월_레저_스포츠_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LEISURE_TRAVEL,최근3개월_레저_여행_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_LEISURE_HOTEL,최근3개월_레저_호텔/숙박_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_ENT_SVOD,최근3개월_엔터_sVOD_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_ENT_BROADCAST,최근3개월_엔터_동영상/방송_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_ENT_RADIO,최근3개월_엔터_라디오_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_ENT_PIC,최근3개월_엔터_사진_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_ENT_WEBTOON,최근3개월_엔터_웹툰/애니_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_ENT_MUSIC,최근3개월_엔터_음악_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_INFO_NEWS,최근3개월_정보_뉴스_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_INFO_BOOK,최근3개월_정보_도서/잡지_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_INFO_BLOG,최근3개월_정보_블로그_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_INFO_PORTAL,최근3개월_정보_포탈_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_COMM_SNS,최근3개월_커뮤_SNS_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_COMM_VOIP,최근3개월_커뮤_VoIP_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_COMM_DATE,최근3개월_커뮤_데이트_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
R3M_ITRT_COMM_MESSENGER,최근3개월_커뮤_메신저_관심도,"0, 1, 2, 3
(숫자가 높을수록 높은 관심도)"
B1Y_MOB_OS,모바일운영체제구분코드_전년말기준,"0 : 안드로이드
1 : IOS
2: 기타"
ROP,주택소유유형,"0 : 무주택자
1 : 1주택자
2 : 다주택자"
YOY_HIGHEND_CD1_CHYN,전년대비_하이엔드대상자코드1_변화여부,"0 : 부
1 : 여"
YOY_HIGHEND_CD2_CHYN,전년대비_하이엔드대상자코드2_변화여부,"0 : 부
1 : 여"
YOY_HIGHEND_CD3_CHYN,전년대비_하이엔드대상자코드3_변화여부,"0 : 부
1 : 여"
YOY_HIGHEND_CD4_CHYN,전년대비_하이엔드대상자코드4_변화여부,"0 : 부
1 : 여"
QOQ_OWN_HOUS_CNT_CHYN,직전분기대비_주택보유건수_변화여부,"0 : 부
1 : 여"
QOQ_OWN_LIV_YN_CHYN,직전분기대비_자가거주_변화여부,"0 : 부
1 : 여"
QOQ_FAM_OWN_HOUS_CNT_CHYN,직전분기대비_주택보유건수_가구기준_변화여부,"0 : 부
1 : 여"
QOQ_FAM_OWN_LIV_YN_CHYN,직전분기대비_자가거주여부_가구기준_변화여부,"0 : 부
1 : 여"
QOQ_HOUS_LN_BAL_NEW_CHYN,직전분기대비_분기신규주담대출여부_변화여부,"0 : 부
1 : 여"
QOQ_CRDT_LN_BAL_NEW_CHYN,직전분기대비_분기신규신용대출여부_변화여부,"0 : 부
1 : 여"
QOQ_BUY_HOUS_ADM_CHYN,직전분기대비_신규구매주택시도코드_변화여부,"0 : 부
1 : 여"
QOQ_BUY_HOUS_PRICE_CHYN,직전분기대비_신규구매주택시세_변화여부,"0 : 부
1 : 여"
QOQ_SHP_CNT_CHYN,직전분기대비_사업체건수_변화여부,"0 : 부
1 : 여"
QOQ_MX_SHP_ADM_CHYN,직전분기대비_매출최대사업체시도코드_변화여부,"0 : 부
1 : 여"
QOQ_R3M_ITRT_FIN_PAY_CS,직전분기대비_금융_결제_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_FIN_INSUR_CS,직전분기대비_금융_보험_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_FIN_COIN_CS,직전분기대비_금융_암호화폐_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
QOQ_R3M_ITRT_FIN_BANK_CS,직전분기대비_금융_은행/카드_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
