No,필드명,설명,코드여부,타입
99,PYE_D10110006,연체건수(6개월내발생)(해제포함)_전년말기준,N,Int
100,PYE_D1011000C,연체건수(1년내발생)(해제포함)_전년말기준,N,Int
101,PYE_D10210D00,연체건수(미해제)(대지급포함)_전년말기준,N,Int
102,PYE_D10232000,총연체금액(미해제)_전년말기준,N,Int
103,PYE_AL012G005,3년내자택주소이력건수(구간화)_전년말기준,N,Char
104,PYE_AL012G011,3년내직장명이력건수(구간화)_전년말기준,N,Char
105,PYE_AL012G019,3년내휴대폰번호이력건수(구간화)_전년말기준,N,Char
106,PYE_SC0000000,KCB Score_전년말기준,N,Int
107,B1Y_EQP_MDL,단말기모델코드_전년말기준,Y,Char
108,R3M_ITRT_FIN_PAY,최근3개월_금융_결제_관심도,Y,Char
109,R3M_ITRT_FIN_INSUR,최근3개월_금융_보험_관심도,Y,Char
110,R3M_ITRT_FIN_COIN,최근3개월_금융_암호화폐_관심도,Y,Char
111,R3M_ITRT_FIN_BANK,최근3개월_금융_은행/카드_관심도,Y,Char
112,R3M_ITRT_FIN_ASSET,최근3개월_금융_자산관리_관심도,Y,Char
113,R3M_ITRT_FIN_STOCK,최근3개월_금융_증권_관심도,Y,Char
114,R3M_ITRT_LIFE_HEALTH,최근3개월_생활_건강/운동/의료_관심도,Y,Char
115,R3M_ITRT_LIFE_DELIVERY,최근3개월_생활_배달/식음료_관심도,Y,Char
116,R3M_ITRT_LIFE_HOUSE,최근3개월_생활_부동산_관심도,Y,Char
117,R3M_ITRT_LIFE_MOVE,최근3개월_생활_이사/인테리어_관심도,Y,Char
118,R3M_ITRT_LIFE_CAR,최근3개월_생활_카라이프_관심도,Y,Char
119,R3M_ITRT_LIFE_KIDS,최근3개월_생활_키즈_관심도,Y,Char
120,R3M_ITRT_LIFE_BEAUTY,최근3개월_생활_뷰티_관심도,Y,Char
121,R3M_ITRT_SHOP_MART,최근3개월_쇼핑_백화점/대형마트/면세점_관심도,Y,Char
122,R3M_ITRT_SHOP_SOCIAL,최근3개월_쇼핑_소셜커머스_관심도,Y,Char
123,R3M_ITRT_SHOP_OPEN,최근3개월_쇼핑_오픈마켓_관심도,Y,Char
124,R3M_ITRT_SHOP_BEAUTY,최근3개월_쇼핑_패션/뷰티_관심도,Y,Char
125,R3M_ITRT_SHOP_JIKGU,최근3개월_쇼핑_해외직구_관심도,Y,Char
126,R3M_ITRT_LEISURE_SPORT,최근3개월_레저_스포츠_관심도,Y,Char
127,R3M_ITRT_LEISURE_TRAVEL,최근3개월_레저_여행_관심도,Y,Char
128,R3M_ITRT_LEISURE_HOTEL,최근3개월_레저_호텔/숙박_관심도,Y,Char
129,R3M_ITRT_ENT_SVOD,최근3개월_엔터_sVOD_관심도,Y,Char
130,R3M_ITRT_ENT_BROADCAST,최근3개월_엔터_동영상/방송_관심도,Y,Char
131,R3M_ITRT_ENT_RADIO,최근3개월_엔터_라디오_관심도,Y,Char
132,R3M_ITRT_ENT_PIC,최근3개월_엔터_사진_관심도,Y,Char
133,R3M_ITRT_ENT_WEBTOON,최근3개월_엔터_웹툰/애니_관심도,Y,Char
134,R3M_ITRT_ENT_MUSIC,최근3개월_엔터_음악_관심도,Y,Char
135,R3M_ITRT_INFO_NEWS,최근3개월_정보_뉴스_관심도,Y,Char
136,R3M_ITRT_INFO_BOOK,최근3개월_정보_도서/잡지_관심도,Y,Char
137,R3M_ITRT_INFO_BLOG,최근3개월_정보_블로그_관심도,Y,Char
138,R3M_ITRT_INFO_PORTAL,최근3개월_정보_포탈_관심도,Y,Char
139,R3M_ITRT_COMM_SNS,최근3개월_커뮤_SNS_관심도,Y,Char
140,R3M_ITRT_COMM_VOIP,최근3개월_커뮤_VoIP_관심도,Y,Char
141,R3M_ITRT_COMM_DATE,최근3개월_커뮤_데이트_관심도,Y,Char
142,R3M_ITRT_COMM_MESSENGER,최근3개월_커뮤_메신저_관심도,Y,Char
143,R3M_FOOD_AMT,최근3개월_요식_이용금액,N,Int
144,R3M_ENT_AMT,최근3개월_유흥_이용금액,N,Int
145,R3M_DEP_AMT,최근3개월_백화점_이용금액,N,Int
146,R3M_MART_AMT,최근3개월_대형할인점_이용금액,N,Int
147,R3M_SSM_AMT,최근3개월_소형유통점_이용금액,N,Int
148,R3M_CLOTHES_AMT,최근3개월_의류/잡화_이용금액,N,Int
149,R3M_CUL_AMT,최근3개월_스포츠/문화/레저_이용금액,N,Int
150,R3M_ACCO_AMT,최근3개월_숙박_이용금액,N,Int
151,R3M_TRAVEL_AMT,최근3개월_여행_이용금액,N,Int
152,R3M_TRANS_AMT,최근3개월_교통_이용금액,N,Int
153,R3M_BEAUTY_AMT,최근3개월_미용_이용금액,N,Int
154,R3M_HOUSEHOLD_AMT,최근3개월_가정생활/서비스_이용금액,N,Int
155,R3M_EDU_AMT,최근3개월_교육/학원_이용금액,N,Int
156,R3M_MED_AMT,최근3개월_의료_이용금액,N,Int
157,R3M_FURN_AMT,최근3개월_가전/가구_이용금액,N,Int
158,R3M_CAR_AMT,최근3개월_자동차판매_이용금액,N,Int
159,R3M_CAR_SERVICE_AMT,최근3개월_자동차서비스/용품_이용금액,N,Int
160,R3M_OIL_AMT,최근3개월_주유_이용금액,N,Int
161,R3M_E_COMM_AMT,최근3개월_전자상거래_이용금액,N,Int
162,R3M_DLV_AMT,최근3개월_배달앱_이용금액,N,Int
163,R3M_HOTEL_AMT,최근3개월_특급호텔_이용금액,N,Int
164,R3M_JJ_AMT,최근3개월_제주도지역_이용금액,N,Int
165,R3M_TRAVEL_OS_AMT,최근3개월_해외여행_이용금액,N,Int
166,R3M_STARBUCKS_AMT,최근3개월_스타벅스_이용금액,N,Int
167,R3M_E_CHARGE_AMT,최근3개월_전기차충전_이용금액,N,Int
168,R3M_CONV_AMT,최근3개월_편의점_이용금액,N,Int
169,R3M_M_DEP_AMT,최근3개월_마케팅_백화점_이용금액,N,Int
170,R3M_M_MART_AMT,최근3개월_마케팅_대형마트_이용금액,N,Int
171,R3M_M_S_MART_AMT,최근3개월_마케팅_슈퍼마켓_이용금액,N,Int
172,R3M_M_OUTLET_AMT,최근3개월_마케팅_아울렛_이용금액,N,Int
173,R3M_M_DF_AMT,최근3개월_마케팅_면세점_이용금액,N,Int
174,R3M_M_CONV_AMT,최근3개월_마케팅_편의점_이용금액,N,Int
175,R3M_M_H_SHOP_AMT,최근3개월_마케팅_홈쇼핑_이용금액,N,Int
176,R3M_M_DEP_L_AMT,최근3개월_마케팅_백화점_롯데백화점_이용금액,N,Int
177,R3M_M_DEP_S_AMT,최근3개월_마케팅_백화점_신세계백화점_이용금액,N,Int
178,R3M_M_DEP_H_AMT,최근3개월_마케팅_백화점_현대백화점_이용금액,N,Int
179,R3M_M_DEP_G_AMT,최근3개월_마케팅_백화점_갤러리아백화점_이용금액,N,Int
180,R3M_M_DEP_A_AMT,최근3개월_마케팅_백화점_AK플라자_이용금액,N,Int
181,R3M_M_DEP_I_AMT,최근3개월_마케팅_백화점_아이파크백화점_이용금액,N,Int
182,R3M_M_MART_E_AMT,최근3개월_마케팅_대형마트_이마트_이용금액,N,Int
183,R3M_M_MART_H_AMT,최근3개월_마케팅_대형마트_홈플러스_이용금액,N,Int
184,R3M_M_MART_L_AMT,최근3개월_마케팅_대형마트_롯데마트_이용금액,N,Int
185,R3M_M_MART_N_AMT,최근3개월_마케팅_대형마트_하나로마트_이용금액,N,Int
186,R3M_M_MART_ET_AMT,최근3개월_마케팅_대형마트_이마트트레이더스_이용금액,N,Int
187,R3M_M_MART_V_AMT,최근3개월_마케팅_대형마트_VIC마켓_이용금액,N,Int
188,R3M_MBR_USE_CNT,최근3개월_멤버십사용회수,N,Int
189,R3M_OUTSIDE_WDAY_CNT,최근3개월_평일집직장외방문횟수,N,Int
190,R3M_OUTSIDE_HDAY_CNT,최근3개월_휴일집직장외방문횟수,N,Int
191,R3M_HOME_WDAY_STAY_TIME,최근3개월_평일집근처총체류시간,N,Int
192,R3M_MOV_WDAY_DIST,최근3개월_평일이동총거리,N,Int
193,PYE_CCIR,소득대비카드소비금액비중_전년말기준,N,Num
194,B1Y_MOB_OS,모바일운영체제구분코드_전년말기준,Y,Char
195,DAR,자산대비_부채비중,N,Num
196,ROP,주택소유유형,Y,Char
197,YOY_HIGHEND_CD1_CHYN,전년대비_하이엔드대상자코드1_변화여부,Y,Char
198,YOY_HIGHEND_CD2_CHYN,전년대비_하이엔드대상자코드2_변화여부,Y,Char
199,YOY_HIGHEND_CD3_CHYN,전년대비_하이엔드대상자코드3_변화여부,Y,Char
200,YOY_HIGHEND_CD4_CHYN,전년대비_하이엔드대상자코드4_변화여부,Y,Char
201,R6M_FOOD_AMT,최근6개월_요식_이용금액,N,Int
202,R6M_ENT_AMT,최근6개월_유흥_이용금액,N,Int
203,R6M_DEP_AMT,최근6개월_백화점_이용금액,N,Int
204,R6M_MART_AMT,최근6개월_대형할인점_이용금액,N,Int
205,R6M_SSM_AMT,최근6개월_소형유통점_이용금액,N,Int
206,R6M_CLOTHES_AMT,최근6개월_의류/잡화_이용금액,N,Int
207,R6M_CUL_AMT,최근6개월_스포츠/문화/레저_이용금액,N,Int
208,R6M_ACCO_AMT,최근6개월_숙박_이용금액,N,Int
209,R6M_TRAVEL_AMT,최근6개월_여행_이용금액,N,Int
210,R6M_TRANS_AMT,최근6개월_교통_이용금액,N,Int
211,R6M_BEAUTY_AMT,최근6개월_미용_이용금액,N,Int
212,R6M_HOUSEHOLD_AMT,최근6개월_가정생활/서비스_이용금액,N,Int
213,R6M_EDU_AMT,최근6개월_교육/학원_이용금액,N,Int
214,R6M_MED_AMT,최근6개월_의료_이용금액,N,Int
215,R6M_FURN_AMT,최근6개월_가전/가구_이용금액,N,Int
216,R6M_CAR_AMT,최근6개월_자동차판매_이용금액,N,Int
217,R6M_CAR_SERVICE_AMT,최근6개월_자동차서비스/용품_이용금액,N,Int
218,R6M_OIL_AMT,최근6개월_주유_이용금액,N,Int
